Number,Year,Quarter
1,1984,1
2,1984,2
3,1984,3
4,1984,4
5,1985,1
6,1985,2
7,1985,3
8,1985,4
9,1986,1
10,1986,2
11,1986,3
12,1986,4
13,1987,1
14,1987,2
15,1987,3
16,1987,4
17,1988,1
18,1988,2
19,1988,3
20,1988,4
21,1989,1
22,1989,2
23,1989,3
24,1989,4
25,1990,1
26,1990,2
27,1990,3
28,1990,4
29,1991,1
30,1991,2
31,1991,3
32,1991,4
33,1992,1
34,1992,2
35,1992,3
36,1992,4
37,1993,1
38,1993,2
39,1993,3
40,1993,4
41,1994,1
42,1994,2
43,1994,3
44,1994,4
45,1995,1
46,1995,2
47,1995,3
48,1995,4
49,1996,1
50,1996,2
51,1996,3
52,1996,4
53,1997,1
54,1997,2
55,1997,3
56,1997,4
57,1998,1
58,1998,2
59,1998,3
60,1998,4
61,1999,1
62,1999,2
63,1999,3
64,1999,4
65,2000,1
66,2000,2
67,2000,3
68,2000,4
69,2001,1
70,2001,2
71,2001,3
72,2001,4
73,2002,1
74,2002,2
75,2002,3
76,2002,4
77,2003,1
78,2003,2
79,2003,3
80,2003,4
81,2004,1
82,2004,2
83,2004,3
84,2004,4
85,2005,1
86,2005,2
87,2005,3
88,2005,4
89,2006,1
90,2006,2
91,2006,3
92,2006,4
93,2007,1
94,2007,2
95,2007,3
96,2007,4
97,2008,1
98,2008,2
99,2008,3
100,2008,4
101,2009,1
102,2009,2
103,2009,3
104,2009,4
105,2010,1
106,2010,2
107,2010,3
108,2010,4
109,2011,1
110,2011,2
111,2011,3
112,2011,4
113,2012,1
114,2012,2
115,2012,3
116,2012,4
117,2013,1
118,2013,2
119,2013,3
120,2013,4
121,2014,1
122,2014,2
123,2014,3
124,2014,4
125,2015,1
126,2015,2
127,2015,3
128,2015,4
129,2016,1
130,2016,2
131,2016,3
132,2016,4
133,2017,1
134,2017,2
135,2017,3
136,2017,4
137,2018,1
138,2018,2
139,2018,3
140,2018,4
141,2019,1
142,2019,2
143,2019,3
144,2019,4